,unique_key,date,arrest,domestic,community_area,longitude,latitude,year
0,19202,2009-12-09 10:25:00+00:00,False,False,13.0,-87.718394898,41.973416451,2009
1,19978,2011-07-22 16:32:00+00:00,True,False,13.0,-87.709657259,41.990377864,2011
2,20128,2011-11-02 21:28:00+00:00,True,False,54.0,-87.609072738,41.659135983,2011
3,19223,2009-12-23 23:10:00+00:00,False,False,18.0,-87.801552232,41.923546675,2009
4,20095,2011-10-11 17:12:00+00:00,True,False,11.0,-87.755772499,41.969754969,2011
5,19354,2010-04-21 21:05:00+00:00,True,False,59.0,-87.683099884,41.82847996,2010
6,18979,2009-07-27 18:03:00+00:00,True,False,52.0,-87.52924263,41.70191623,2009
7,1965,2003-01-06 09:55:00+00:00,False,False,48.0,-87.581583027,41.730786741,2003
8,19882,2011-05-23 23:58:00+00:00,True,False,50.0,-87.607393187,41.701138424,2011
9,21906,2015-06-06 02:13:00+00:00,False,False,34.0,-87.629850998,41.82366832,2015
10,20604,2012-09-04 02:27:00+00:00,False,False,62.0,-87.718338829,41.796214692,2012
11,1952,2002-12-30 22:52:00+00:00,False,False,48.0,-87.558105868,41.727521443,2002
12,20050,2011-09-04 23:37:00+00:00,True,False,54.0,-87.605887439,41.654069013,2011
13,22928,2016-11-06 00:42:00+00:00,False,False,62.0,-87.736566013,41.790605445,2016
14,2758,2004-06-21 05:05:00+00:00,True,False,11.0,-87.770062702,41.973879166,2004
15,23708,2017-11-24 11:09:00+00:00,True,False,52.0,-87.537692017,41.713391403,2017
16,23172,2016-07-30 07:00:00+00:00,True,True,36.0,-87.611702199,41.823901511,2016
17,4227,2007-08-21 15:00:00+00:00,True,False,10.0,-87.790588313,41.981055345,2007
18,3519,2006-03-11 04:20:00+00:00,False,False,48.0,-87.587915691,41.727125922,2006
19,21813,2015-04-08 14:25:00+00:00,True,True,18.0,-87.792007111,41.921199662,2015
20,22975,2016-11-23 02:53:00+00:00,False,False,57.0,-87.727632503,41.807820257,2016
21,19573,2010-08-28 00:09:00+00:00,True,False,18.0,-87.801401557,41.923548722,2010
22,20482,2012-06-26 22:26:00+00:00,True,True,47.0,-87.5986181,41.730509981,2012
23,1382,2002-03-08 06:14:00+00:00,False,False,48.0,-87.585638764,41.736458248,2002
24,19871,2011-05-19 09:56:00+00:00,False,False,48.0,-87.573768445,41.726138629,2011
25,20938,2013-06-20 06:20:00+00:00,True,False,72.0,-87.667676345,41.71309546,2013
26,2202,2003-06-06 04:00:00+00:00,True,False,34.0,-87.632934603,41.851439898,2003
27,2213,2003-06-15 19:57:00+00:00,True,False,48.0,-87.574305734,41.729042916,2003
28,22099,2015-09-16 08:00:00+00:00,False,False,48.0,-87.565806616,41.729340475,2015
29,3045,2005-02-12 20:47:00+00:00,True,False,50.0,-87.605637491,41.707455731,2005
30,24240,2018-10-19 22:09:00+00:00,False,False,52.0,-87.535797871,41.715809734,2018
31,4219,2007-08-26 14:55:00+00:00,False,False,45.0,-87.580676052,41.741947391,2007
32,24092,2018-07-29 19:58:00+00:00,False,False,52.0,-87.541344349,41.701992038,2018
33,23432,2017-07-09 20:26:00+00:00,False,False,59.0,-87.685052631,41.830949864,2017
34,3696,2006-07-16 01:47:00+00:00,True,False,54.0,-87.596743849,41.65464198,2006
35,24090,2018-07-28 04:53:00+00:00,False,False,18.0,-87.804967456,41.923806678,2018
36,1362,2002-02-23 01:45:00+00:00,True,False,48.0,-87.585596055,41.734454625,2002
37,23921,2018-05-03 13:51:00+00:00,False,False,45.0,-87.584186242,41.74700064,2018
38,3203,2005-06-20 21:45:00+00:00,False,False,57.0,-87.723700117,41.810949891,2005
39,4686,2008-08-10 20:37:00+00:00,False,False,54.0,-87.596650689,41.659605905,2008
40,3979,2007-02-28 23:09:00+00:00,False,False,47.0,-87.594571959,41.725851639,2007
41,954,2001-07-22 08:40:00+00:00,False,False,18.0,-87.801201378,41.937466523,2001
42,24218,2018-10-06 20:55:00+00:00,False,False,54.0,-87.61588187,41.654628561,2018
43,2807375,2003-06-29 16:10:00+00:00,True,False,72.0,-87.683602473,41.711877568,2003
44,22792,2016-09-19 11:40:00+00:00,True,False,54.0,-87.605132705,41.65675095,2016
45,20640,2012-09-28 19:04:00+00:00,True,False,48.0,-87.574255471,41.727088635,2012
46,22127,2015-09-29 03:35:00+00:00,True,False,37.0,-87.635568188,41.818159764,2015
47,22455,2016-05-04 15:10:00+00:00,False,False,45.0,-87.592600053,41.756550472,2016
48,2942,2004-10-22 21:45:00+00:00,True,True,37.0,-87.632279516,41.81326591,2004
49,1946,2002-12-25 23:45:00+00:00,True,False,36.0,-87.606402579,41.820489899,2002
50,19142,2009-10-27 06:43:00+00:00,True,True,50.0,-87.60067211,41.711916635,2009
51,21889,2015-05-23 18:19:00+00:00,True,False,36.0,-87.611945922,41.826375628,2015
52,21172,2013-11-28 05:22:00+00:00,True,True,11.0,-87.781943859,41.969279924,2013
53,21521,2014-08-21 00:32:00+00:00,False,False,54.0,-87.617232658,41.652268611,2014
54,2659,2004-03-28 07:00:00+00:00,True,False,52.0,-87.543784015,41.696835779,2004
55,3883,2006-11-18 23:25:00+00:00,True,False,48.0,-87.587915691,41.727125922,2006
56,4090,2007-05-15 16:26:00+00:00,True,False,34.0,-87.638562073,41.853751811,2007
57,4753,2008-09-21 05:55:00+00:00,True,False,57.0,-87.71912179,41.807928746,2008
58,24436,2019-03-16 14:31:00+00:00,False,False,45.0,-87.585745319,41.741170915,2019
59,19088,2009-09-19 20:55:00+00:00,False,False,57.0,-87.730803188,41.803347283,2009
60,21367,2014-05-09 12:20:00+00:00,False,False,48.0,-87.584981718,41.72551515,2014
61,21836,2015-04-28 15:30:00+00:00,False,False,54.0,-87.608534028,41.65496118,2015
62,19116,2009-10-05 11:00:00+00:00,False,False,47.0,-87.591985239,41.725889866,2009
63,21366,2014-05-03 07:10:00+00:00,True,False,59.0,-87.671471689,41.833177595,2014
64,19633,2010-10-11 02:27:00+00:00,False,False,59.0,-87.668345134,41.826817531,2010
65,20629,2012-09-22 17:14:00+00:00,False,False,48.0,-87.583365673,41.729656757,2012
66,2557,2003-12-11 21:25:00+00:00,True,False,45.0,-87.585384526,41.745106644,2003
67,4271,2007-09-24 23:17:00+00:00,True,False,57.0,-87.725149,41.807851044,2007
68,23826,2018-02-17 21:18:00+00:00,True,False,54.0,-87.604171861,41.654340811,2018
69,19478,2010-07-04 01:59:00+00:00,False,False,45.0,-87.580676052,41.741947391,2010
70,19656,2010-10-31 17:03:00+00:00,False,False,47.0,-87.59853204,41.726810098,2010
71,23617,2017-10-03 12:15:00+00:00,False,False,59.0,-87.675358503,41.833446911,2017
72,19659,2010-11-02 05:30:00+00:00,True,False,12.0,-87.73619249,41.995988144,2010
73,3111,2005-04-12 15:51:00+00:00,True,False,74.0,-87.697117655,41.688788281,2005
74,4390,2008-01-07 20:31:00+00:00,True,False,45.0,-87.595465112,41.750237807,2008
75,2494,2003-11-16 06:45:00+00:00,True,False,52.0,-87.540101542,41.689293714,2003
76,22801,2016-09-23 15:13:00+00:00,False,False,37.0,-87.634231441,41.817276213,2016
77,2497,2003-11-18 13:10:00+00:00,False,False,54.0,-87.614167513,41.651832333,2003
78,1746,2002-09-09 19:20:00+00:00,False,False,55.0,-87.539518051,41.670639213,2002
79,21792,2015-03-22 09:53:00+00:00,False,False,52.0,-87.541349099,41.696830001,2015
80,4780,2008-10-06 00:01:00+00:00,False,False,52.0,-87.537704247,41.707647633,2008
81,23786,2018-01-22 02:45:00+00:00,False,False,62.0,-87.720521696,41.786503336,2018
82,2407,2003-09-29 17:05:00+00:00,False,False,52.0,-87.536493892,41.722324071,2003
83,19390,2010-05-17 22:17:00+00:00,True,True,62.0,-87.728603037,41.793154414,2010
84,24138,2018-08-20 02:10:00+00:00,True,False,54.0,-87.609627647,41.658601587,2018
85,22859,2016-10-18 18:40:00+00:00,False,False,52.0,-87.535282917,41.716873697,2016
86,24362,2018-12-24 14:24:00+00:00,True,False,72.0,-87.659911802,41.701856112,2018
87,23847,2018-03-04 06:19:00+00:00,False,False,54.0,-87.609423772,41.653605591,2018
88,745,2001-04-03 09:30:00+00:00,True,False,64.0,-87.789978129,41.782061296,2001
89,4551,2008-05-30 02:30:00+00:00,False,False,47.0,-87.600988317,41.728261055,2008
90,23515,2017-08-13 17:46:00+00:00,False,False,52.0,-87.535287253,41.709121037,2017
91,22860,2016-10-18 20:04:00+00:00,True,True,54.0,-87.614328029,41.659114092,2016
92,2845,2004-08-07 12:25:00+00:00,True,True,48.0,-87.583889276,41.730626171,2004
93,5068,2009-06-19 00:15:00+00:00,True,False,64.0,-87.742389348,41.781403742,2009
94,23905,2018-04-24 00:51:00+00:00,False,False,62.0,-87.73353203,41.793114392,2018
95,23033,2016-09-23 12:01:00+00:00,False,False,59.0,-87.677420169,41.823077127,2016
96,23151,2016-11-12 10:17:00+00:00,False,False,45.0,-87.596956093,41.74771987,2016
97,23340,2017-06-05 19:58:00+00:00,False,False,37.0,-87.634629974,41.813348838,2017
98,24372,2019-01-06 22:23:00+00:00,False,False,64.0,-87.773112387,41.77783091,2019
99,3315,2005-08-18 00:01:00+00:00,False,False,50.0,-87.606310777,41.702629983,2005
100,3048,2005-02-21 17:25:00+00:00,True,False,55.0,-87.551982327,41.656895901,2005
101,22510,2016-05-28 17:29:00+00:00,False,False,37.0,-87.632733067,41.819108491,2016
102,1751,2002-09-11 20:15:00+00:00,False,False,13.0,-87.716541971,41.994322796,2002
103,3734,2006-08-09 18:35:00+00:00,True,False,45.0,-87.584193726,41.747302562,2006
104,24220,2018-10-07 09:46:00+00:00,False,False,45.0,-87.59434901,41.754569374,2018
105,3031,2005-01-26 20:06:00+00:00,True,True,50.0,-87.605647981,41.706525472,2005
106,24225,2018-10-09 18:48:00+00:00,True,False,54.0,-87.616380495,41.648931657,2018
107,5073,2009-06-21 08:39:00+00:00,False,False,48.0,-87.586700828,41.727323858,2009
108,3750,2006-08-21 06:50:00+00:00,True,False,50.0,-87.603948559,41.705244076,2006
109,22699,2016-08-13 05:45:00+00:00,False,False,62.0,-87.723304041,41.798181377,2016
110,2504,2003-11-21 21:51:00+00:00,False,False,55.0,-87.548377295,41.654530413,2003
111,23234,2017-04-07 06:35:00+00:00,False,False,10.0,-87.796654864,41.972530174,2017
112,4734,2008-09-09 21:38:00+00:00,True,False,47.0,-87.598534014,41.726958304,2008
113,1899,2002-12-06 00:30:00+00:00,True,True,10.0,-87.787522979,41.994166325,2002
114,23513,2017-08-13 17:46:00+00:00,False,False,52.0,-87.535287253,41.709121037,2017
115,24364,2018-12-26 14:20:00+00:00,True,False,64.0,-87.765094943,41.775264034,2018
116,2316,2003-08-05 18:00:00+00:00,True,True,74.0,-87.699589272,41.690994663,2003
117,1770,2002-09-20 21:49:00+00:00,True,False,37.0,-87.632376054,41.817196299,2002
